,starters,subGroup
664,   It might be,depression_4
665,   You can have,depression_4
666,   You might find,depression_4
667,"Again , yes the",depression_4
668,   Once you get,depression_4
669,Assuming there are no,depression_4
670,There is a phenomenon,depression_4
671,  The ideal amount,depression_4
672,This applies to more,depression_4
673,A common suggestion that,depression_4
674,There are many ways,depression_4
675,Best of luck .,depression_4
676,It 's fun to,depression_3
677,"But , it 's",depression_3
678,"And , to begin",depression_3
679,Unbalance is an experience,depression_3
680,Are you certain your,depression_3
681,It 's possible that,depression_3
682,"For example , at",depression_3
683,   Mid - cycle,depression_3
684,"   Either way ,",depression_3
685,  Let 's say,depression_3
686,   Your natural inclination,depression_3
687,   The next day,depression_3
688,   It STARTS with,depression_3
689,So if you notice,depression_3
690,"better!And those "" on",depression_3
691,   But even those,depression_3
692,   Exercise for sure,depression_3
693,   You might feel,depression_3
694,"All that aside ,",depression_3
695,"   Christiane Northrup ,",depression_3
696,   When the tide,depression_3
697,   At the height,depression_3
698,   Since you have,depression_3
699,Maybe it 's that,depression_3
700,   Whatever it is,depression_3
701,If taking good care,depression_3
702,   Something else may,depression_3
703,Depression and PMS symptoms,depression_3
704,   Looking at this,depression_3
705,  As a woman,depression_3
706,The bloating and extreme,depression_3
707,Making sure your schedule,depression_3
708,Different essential oils like,depression_3
709,Homeopathy can be effective,depression_3
710,Birth control is known,depression_3
711,Perhaps even psychiatric medication,depression_3
712,If you are interested,depression_3
713,  Reducing your processed,depression_3
714,"Exercising , spending time",depression_3
715,You may already be,depression_3
716,As much as posible,depression_3
717,   This way you,depression_3
718,The hormonal cycle is,depression_3
719,Opinions vary as to,depression_3
720,There are side effects,depression_3
721,Reflect on which is,depression_3
722,Sticking to a system,depression_3
723,"In a way ,",depression_4
724,  According to new,depression_4
725,  When a person,depression_4
726,  If a person,depression_4
727,  Another way to,depression_4
728,  Consider working with,depression_4
729,   Someone who is,depression_4
730,Self - harm has,depression_4
731,When we get stuck,depression_4
732,It is its own,depression_4
733,There is a therapy,depression_4
734,This one of the,depression_4
735,If you are interested,depression_4
736,This can help immensely,depression_4
737,Self - harm recovery,depression_4
738,This can be a,depression_4
739,"  Typically , only",depression_4
740,Even though that can,depression_4
741,You might not be,depression_4
742,"If possible , you",depression_4
743,"At present , the",depression_4
744,  Emotional support animals,depression_4
745,Service animals who are,depression_4
746,  While it may,depression_4
747,Agree with the apartment,depression_4
748,Ask the manager if,depression_4
749,If the answer is,depression_4
750,If the manager tells,depression_4
751,This is tricky because,depression_4
752,The ones that are,depression_4
753,You may benefit from,depression_4
754,I will warn you,depression_4
755,It 's really hard,depression_4
756,"In this case ,",depression_4
757,I would tell him,depression_4
758,"Schedule a time ,",depression_4
759,"  Ideally , you",depression_4
760,"For example ,   ",depression_4
761,By focusing on how,depression_4
762,  Some people go,depression_4
763,Chances are there are,depression_4
764,"Overall , try to",depression_4
765,If he continues to,depression_4
766,Tell me what you,depression_4
767,  Reach out to,depression_4
768,Sometimes a 3rd party,depression_4
769,Hope this helps !,depression_4
770,This is so hard,depression_4
771,It is hard for,depression_4
772,Unfortunately people without depression,depression_4
773,Sometimes I think that,depression_4
774,If    he is,depression_4
775,"If not , I",depression_4
776,"If not that ,",depression_4
777,We tend to get,depression_4
778,Wishing you the best,depression_4
779,It can be hard,depression_4
780,   By nature men,depression_4
781,So if they are,depression_4
782,   If their wife,depression_4
783,   He may feel,depression_4
784,It 's not that,depression_4
785,   I would start,depression_4
786,   Meeting with a,depression_4
787,   A therapist can,depression_4
788,   Depression is not,depression_4
789,   Once your husband,depression_4
790,   He might start,depression_4
791,From what you write,depression_4
792,Stay clear in understanding,depression_4
793,"In this example ,",depression_4
794,Its up to him,depression_4
795,Depending on how motivated,depression_4
796,   At a certain,depression_4
797,Just do n't try,depression_4
798,It sounds like you,depression_4
799,This may sound counter,depression_4
800,A simple example would,depression_4
801,Now I am not,depression_4
802,One thing I would,depression_4
803,I 'd also be,depression_4
804,These are things you,depression_4
805,I applaud your courage,depression_4
806,This is one of,depression_4
807,It is often that,depression_4
808,It is inspiring that,depression_4
809,"  Depression , if",depression_4
810,While you desperately desire,depression_4
811,Sometimes it is scarier,depression_4
812,"Human beings , for",depression_4
813,Allowing yourself to confront,depression_4
814,Seasonal Affective Disorder (,depression_4
815,  Everyone suffers with,depression_4
816,If you have noticed,depression_4
817,Attend therapy to learn,depression_4
818,It 's important to,depression_4
819,  2 . Push,depression_4
820,It 's easy to,depression_4
821,  Perhaps winter time,depression_4
822,You may want to,depression_4
823,  These are lights,depression_4
824,There are mixed reviews,depression_4
825,I would suggest some,depression_4
826,Make sure you are,depression_4
827,Take a trip to,depression_4
828,Use a sun lamp,depression_4
829,Seek professional health to,depression_4
830,Thank you for sharing,depression_4
831,It seems like since,depression_4
832,What you report sounds,depression_4
833,The best care and,depression_4
834,Light therapy is very,depression_4
835,You are not alone,depression_4
836,The name for the,depression_4
837,You might want to,depression_4
838,I am glad that,depression_4
839,Winter depression ( seasonal,depression_4
840,Light affects how our,depression_4
841,Exposure to light can,depression_4
842,If you are someone,depression_4
843,---one simple change you,depression_4
844,This will give you,depression_4
845,"Beyond this , keeping",depression_4
846,"Outside this , as",depression_4
847,"Lastly , just making",depression_4
848,Wishing you well !,depression_4
849,This is actually pretty,depression_4
850,"When winter hits ,",depression_4
851,Not to mention the,depression_4
852,It will be helpful,depression_4
853,Get outside when you,depression_4
854,Open up the blinds,depression_4
855,Use a sunlight if,depression_4
856,Stay connected to friends,depression_4
857,Try to engage in,depression_4
858,Cold climate is often,depression_4
859,The elements along with,depression_4
860,For some people these,depression_4
861,"Whether you have 
",depression_4
862,Nutrition   Most likely,depression_4
863,These foods and snacks,depression_4
864,"Avoid overeating cookies ,",depression_4
865,"Chose 
 vegetables ,",depression_4
866,"If you find 
",depression_4
867,Are you hungry ?,depression_4
868,Or Are you eating,depression_4
869,AlcoholKeep in mind that,depression_4
870,Do not consume alcohol,depression_4
871,If you find yourself,depression_4
872,Instead of mindlessly taking,depression_4
873,"SunlightGet 
 out in",depression_4
874,Be activeIf you are,depression_4
875,There are a lot,depression_4
876,   Reach out for,depression_4
877,"Do 
 not hesitate",depression_4
878,If you experience thoughts,depression_4
879,"First of all ,",depression_4
880,Many people suffer from,depression_4
881,   Some people notice,depression_4
882,   It would be,depression_4
883,Many peope uffer from,depression_4
884,The amount of daylight,depression_4
885,Most times it is,depression_4
886,There are special lights,depression_4
887,"Also , paying attention",depression_4
888,Are you sleeping enough,depression_4
889,Exercising and eating a,depression_4
890,Make sure to schedule,depression_4
891,About 3 million people,depression_4
892,Seasonal affective disorder or,depression_4
893,You might have feel,depression_4
894,Or you may have,depression_4
895,Everyone could get seasonal,depression_4
896,This lack of light,depression_4
897,You might be wondering,depression_4
898,Here are the symptoms,depression_4
899,In addition to therapy,depression_4
900,so she or he,depression_4
901,One of these common,depression_4
902,"At Makin Wellness ,",depression_4
903,Light therapy can be,depression_4
904,Cognitive behavioral therapy with,depression_4
905,Medication can also be,depression_4
906,Antidepressants such as Zoloft,depression_4
907,Be sure to talk,depression_4
908,One theory is that,depression_4
909,   Feeling sad may,depression_4
910,"Also , I believe",depression_4
911,   Winter for most,depression_4
912,  Our bodies and,depression_4
913,Fighting what is part,depression_4
914,"Last point , there",depression_4
915,   Maybe you can,depression_4
916,Sometimes its quite literally,depression_4
917,"Also consider , what",depression_4
918,"If for example ,",depression_4
919,Change your total daily,depression_4
920,   Sit outside for,depression_4
921,Seasonal depression can be,depression_4
922,Understanding that we have,depression_4
923,"Exercising , meditation ,",depression_4
924,It may help to,depression_4
925,There can be lots,depression_4
926,Here are some possible,depression_4
927,If you 're looking,depression_4
928,One idea is to,depression_4
929,This could give you,depression_4
930,Enjoy the sunshine from,depression_4
931,You may notice that,depression_4
932,If you are staying,depression_4
933,Consider using a light,depression_4
934,Certain types of light,depression_4
935,You can find more,depression_4
936,Each of us has,depression_4
937,If you find yourself,depression_4
938,"Also , because  ",depression_4
939,Going through a divorce,depression_4
940,Are you surprised that,depression_4
941,Is it possible that,depression_4
942,  The lack of,depression_4
943,Your parenting skills may,depression_4
944,Take your emotional weariness,depression_4
945,Give yourself extra time,depression_4
946,Since you talk about,depression_4
947,The Courts are very,depression_4
948,You are in the,depression_4
949,   Search out a,depression_4
950,   If you ca,depression_4
951,"   Your sadness ,",depression_4
952,Take care of YOU,depression_4
953,If you are a,depression_4
954,  If this sounds,depression_4
955,  Maybe your parents,depression_4
956,"  Over time ,",depression_4
957,  You might also,depression_4
958,  If you grew,depression_4
959,"In both scenarios ,",depression_4
960,"Basically , you spend",depression_4
961,  Before you realize,depression_4
962,  Supporting loved ones,depression_4
963,"In conclusion , learning",depression_4
964,  It sounds like,depression_4
965,  Take one small,depression_4
966,  Identify the worst,depression_4
967,"  Meanwhile , engage",depression_4
968,Give yourself credit for,depression_4
969,"For instance , you",depression_4
970,  Take off any,depression_4
971,  Inner reflection work,depression_4
972,   Trust that answers,depression_4
973,From what you describe,depression_4
974,  One direction is,depression_4
975,By examining one area,depression_4
976,"   And , you",depression_4
977,Thank you for sharing,depression_4
978,It can be very,depression_4
979,Sometimes we are so,depression_4
980,At times like this,depression_4
981,  Try out this,depression_4
982,For example : make,depression_4
983,  Then in the,depression_4
984,  Is your list,depression_4
985,It is easy to,depression_4
986,"To fix that ,",depression_4
987,This will help you,depression_4
988,Check this blog out,depression_4
989,It sounds as if,depression_4
990,"Having said that ,",depression_4
991,"For example , honest",depression_4
992,If you 're looking,depression_4
993,There is a list,depression_4
994,If you 're going,depression_4
995,You could also try,depression_4
996,Sometimes it 's easier,depression_4
997,The idea here is,depression_4
998,I do n't mean,depression_4
